id,name,genres_first,has_remaster,target,age_classif,games_developed,has_parents,games_published,continent_name,onlinecoop,onlinecoopmax,onlinemax,splitscreen,classic_console,less_common_portable_console,mobile,modern_console,others,pc,portable_console,unknown_platforms_name,vr,battle_royale,co_operative,massively_multiplayer_online_mmo,multiplayer,single_player,split_screen,unknown_game_mode,auditory,bird_view_slash_isometric,first_person,side_view,text,third_person,unknown_player_perspectives,virtual_reality,has_global_launch
119307,CrossfireX,shooter,0,1,18+,35.0,0.0,5.0,Europe,,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
119339,Garden of the Sea,simulator,0,1,All Ages,3.0,0.0,3.0,Europe,,,,,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
119685,Monstrum 2,strategy,0,0,No Rating,5.0,0.0,1.0,Europe,,,,,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
120112,Soul Scathe,role-playing-rpg,0,1,No Rating,1.0,0.0,1.0,Unknown,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
120163,Bendy and the Dark Revival,adventure,0,0,12+,13.0,0.0,13.0,North America,,,,,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
120568,WoMen in Science,role-playing-rpg,0,0,No Rating,1.0,0.0,1.0,Unknown,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
120692,Spooky Starlets,simulator,0,0,No Rating,-1.0,0.0,11.0,Unknown,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
120816,Will You Snail?,arcade,0,0,10+,1.0,0.0,41.0,Europe,,,,,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
120859,Tau Defense,strategy,0,0,No Rating,2.0,0.0,2.0,Unknown,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
120925,Rencia,strategy,0,0,No Rating,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
121179,Gedonia,role-playing-rpg,0,0,No Rating,1.0,0.0,1.0,Unknown,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
121345,Builder Simulator,simulator,0,0,15+,11.0,0.0,7.0,Unknown,,,,,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
121552,Sacrifice Your Friends,adventure,0,0,10+,,,,,,,,,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
121593,Ricky Recharge,indie,0,0,No Rating,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
121597,Mini Matches,arcade,0,0,No Rating,2.0,0.0,2.0,North America,1.0,4.0,4.0,1.0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1
121713,KungFu Kickball,indie,0,0,10+,1.0,0.0,1.0,Unknown,1.0,2.0,4.0,1.0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1
